Day Index,Importaciones,Exportaciones
01/01/2008,81426,52913
02/01/2008,101059,55173
03/01/2008,139946,52910
04/01/2008,162279,29544
05/01/2008,205996,93592
06/01/2008,107861,137070
07/01/2008,204548,157307
08/01/2008,235746,83073
09/01/2008,162696,62662
10/01/2008,265366,26705
11/01/2008,145193,29941
12/01/2008,234757,25696
01/01/2009,70908,32136
02/01/2009,66049,21318
03/01/2009,84411,22056
04/01/2009,78436,44469
05/01/2009,46016,82402
06/01/2009,74019,66243
07/01/2009,93864,73177
08/01/2009,86616,31141
09/01/2009,76853,62813
10/01/2009,81818,62837
11/01/2009,68092,56903
12/01/2009,100570,79788
01/01/2010,105847,34469
02/01/2010,77592,45577
03/01/2010,101434,39244
04/01/2010,96722,16473
05/01/2010,121232,46703
06/01/2010,116537,26461
07/01/2010,84576,32495
08/01/2010,178948,34655
09/01/2010,96497,44219
10/01/2010,143538,62640
11/01/2010,97185,27225
12/01/2010,111836,55807
01/01/2011,139555,29617
02/01/2011,117517,72195
03/01/2011,100745,39250
04/01/2011,121454,32994
05/01/2011,173303,43273
06/01/2011,138320,86012
07/01/2011,175646,63688
08/01/2011,104755,73558
09/01/2011,226294,63249
10/01/2011,136896,123447
11/01/2011,203370,63406
12/01/2011,171290,47348
01/01/2012,103748,29962
02/01/2012,94248,34340
03/01/2012,136843,51896
04/01/2012,80777,45574
05/01/2012,99188,65755
06/01/2012,91622,101573
07/01/2012,152524,87718
08/01/2012,145939,54622
09/01/2012,124194,44045
10/01/2012,120805,46368
11/01/2012,112095,56382
12/01/2012,71764,63453
01/01/2013,137584,35837
02/01/2013,80811,36303
03/01/2013,88338,82272
04/01/2013,145595,46249
05/01/2013,110116,59993
06/01/2013,69170,74480
07/01/2013,77749,99540
08/01/2013,115221,75035
09/01/2013,149766,46764
10/01/2013,139296,39660
11/01/2013,115967,102658
12/01/2013,104218,84904
01/01/2014,206526,63069
02/01/2014,76663,40910
03/01/2014,126439,65383
04/01/2014,81776,77575
05/01/2014,129460,95235
06/01/2014,101818,120416
07/01/2014,102261,99170
08/01/2014,95986,53278
09/01/2014,82150,78700
10/01/2014,148380,64892
11/01/2014,116942,70449
12/01/2014,94577,61508
01/01/2015,87133,31499
02/01/2015,84773,36886
03/01/2015,78706,47960
04/01/2015,72829,44462
05/01/2015,74262,48604
06/01/2015,73983,69242
07/01/2015,116641,57854
08/01/2015,115071,66475
09/01/2015,74987,141245
10/01/2015,57302,125599
11/01/2015,63168,33024
12/01/2015,81496,43824
01/01/2016,66235,37910
02/01/2016,61258,43512
03/01/2016,70150,31750
04/01/2016,94142,52844
05/01/2016,80451,68768
06/01/2016,106207,127537
07/01/2016,86066,118510
08/01/2016,96195,134181
09/01/2016,64849,110047
10/01/2016,69198,56420
11/01/2016,105978,37190
12/01/2016,54446,38987
01/01/2017,66492,29185
02/01/2017,85093,21053
03/01/2017,93188,46100
04/01/2017,121192,42010
05/01/2017,125018,64096
06/01/2017,86511,72255
07/01/2017,96012,66130
08/01/2017,144127,104081
09/01/2017,125800,42423
10/01/2017,132282,49570
11/01/2017,103760,37442
12/01/2017,167310,82925
01/01/2018,170993,46711
02/01/2018,213393,39519
03/01/2018,228485,43940
04/01/2018,225105,58336
05/01/2018,151294,85136
06/01/2018,117254,59217
07/01/2018,168816,73032
08/01/2018,221476,63454
09/01/2018,202290,56319
10/01/2018,213556,59078
11/01/2018,215103,71316
12/01/2018,195815,68556
01/01/2019,171180,60374
02/01/2019,116220,81513
03/01/2019,127492,49963
04/01/2019,131783,99889
