Day Index,Importaciones,Exportaciones
01/01/2008,13932401,19926924
02/01/2008,14505408,20617202
03/01/2008,14118422,22289648
04/01/2008,16063391,24165841
05/01/2008,14911363,23150959
06/01/2008,15373438,23613468
07/01/2008,16256984,24723515
08/01/2008,16434615,23638500
09/01/2008,15631053,22903701
10/01/2008,15427776,22209755
11/01/2008,12383322,18585911
12/01/2008,11617741,16969168
01/01/2009,9088721,13661938
02/01/2009,9510755,14540815
03/01/2009,10423256,16951042
04/01/2009,9537099,15771713
05/01/2009,9228926,15697178
06/01/2009,11013952,17616405
07/01/2009,10678503,16048612
08/01/2009,11271306,18023414
09/01/2009,12153128,19083460
10/01/2009,12373504,20067429
11/01/2009,12238627,20311177
12/01/2009,13009877,20720109
01/01/2010,11081020,17338432
02/01/2010,11966054,19213237
03/01/2010,14625083,23770292
04/01/2010,14448720,22734972
05/01/2010,13737671,22357990
06/01/2010,13533284,22934434
07/01/2010,13197879,21251466
08/01/2010,14905621,24774092
09/01/2010,13960272,22740682
10/01/2010,14674458,24006673
11/01/2010,15516516,25576451
12/01/2010,15506403,23899543
01/01/2011,14088540,21888017
02/01/2011,14622261,23158748
03/01/2011,17504727,28160992
04/01/2011,15902798,24858717
05/01/2011,17151482,27788732
06/01/2011,17336863,27236326
07/01/2011,16203546,24898876
08/01/2011,17941116,28224966
09/01/2011,17257251,25538116
10/01/2011,17052416,26860628
11/01/2011,17044229,27590083
12/01/2011,16882287,25596353
01/01/2012,15274302,23848807
02/01/2012,17281982,26797804
03/01/2012,17871339,28556369
04/01/2012,17890046,27439035
05/01/2012,18709093,29651278
06/01/2012,16340179,26599655
07/01/2012,16973813,26934926
08/01/2012,18152415,27605095
09/01/2012,16519575,25893263
10/01/2012,20030984,29922348
11/01/2012,17992271,27706112
12/01/2012,16676734,26526493
01/01/2013,16652886,23943427
02/01/2013,16492077,25683725
03/01/2013,17608020,28046837
04/01/2013,19232373,29093850
05/01/2013,18341826,29122796
06/01/2013,16595113,27547325
07/01/2013,18378170,28578552
08/01/2013,18051516,28909800
09/01/2013,16916392,27985891
10/01/2013,19275833,31648084
11/01/2013,17668046,28544989
12/01/2013,17205154,28622597
01/01/2014,16924760,24098889
02/01/2014,16933698,27084704
03/01/2014,18618606,29358833
04/01/2014,18400599,30143044
05/01/2014,18965780,30534765
06/01/2014,18790871,29713574
07/01/2014,18548179,30123688
08/01/2014,18867761,29796560
09/01/2014,18301567,30656608
10/01/2014,19898004,33499807
11/01/2014,18374605,29163024
12/01/2014,18225662,30584724
01/01/2015,16093719,23551596
02/01/2015,16145399,26385381
03/01/2015,18580905,30586443
04/01/2015,17456177,29934693
05/01/2015,16852439,28016163
06/01/2015,18305607,30413187
07/01/2015,18513012,29506178
08/01/2015,17948592,27822464
09/01/2015,17450228,28689714
10/01/2015,18066555,30879752
11/01/2015,17179303,28136185
12/01/2015,17075711,28108917
01/01/2016,14350841,21925214
02/01/2016,15669189,26224726
03/01/2016,16695647,28613737
04/01/2016,16492907,27448125
05/01/2016,16842474,28175962
06/01/2016,17045290,28386419
07/01/2016,16571864,26201833
08/01/2016,17477305,28657490
09/01/2016,17772499,28995088
10/01/2016,17335487,28606216
11/01/2016,17862225,30505954
12/01/2016,17701206,29212471
01/01/2017,16308347,24022020
02/01/2017,16538475,27789649
03/01/2017,19489614,32111229
04/01/2017,15909624,28285230
05/01/2017,18921698,31705320
06/01/2017,18265338,31509458
07/01/2017,17154598,28118641
08/01/2017,19463304,31655801
09/01/2017,17930002,29516830
10/01/2017,19523214,31993987
11/01/2017,19311187,32497154
12/01/2017,19176655,30945681
01/01/2018,17694630,26768495
02/01/2018,18174398,30543712
03/01/2018,20553214,34664755
04/01/2018,19782096,31942185
05/01/2018,21012760,34457355
06/01/2018,20049614,33095881
07/01/2018,20413212,32534707
08/01/2018,21717356,35347818
09/01/2018,19322949,33152515
10/01/2018,23086169,36783264
11/01/2018,21566332,33905225
12/01/2018,18451740,33006387
01/01/2019,18253736,28405928
02/01/2019,18078753,31834205
03/01/2019,19635170,34565846
04/01/2019,19519769,35074993
