Day Index,Importaciones,Exportaciones
01/01/2008,6680945,578824
02/01/2008,6228017,790457
03/01/2008,6350963,782680
04/01/2008,7813957,900065
05/01/2008,7132382,802565
06/01/2008,7045848,724560
07/01/2008,8261203,693195
08/01/2008,7383984,682256
09/01/2008,8304124,845121
10/01/2008,8020167,723109
11/01/2008,7181948,506248
12/01/2008,5807458,596396
01/01/2009,5140507,483465
02/01/2009,4756486,517887
03/01/2009,5662919,622279
04/01/2009,5329108,586722
05/01/2009,5267729,487047
06/01/2009,5923786,704674
07/01/2009,5740745,741797
08/01/2009,6241699,559917
09/01/2009,6781342,574874
10/01/2009,6932485,741107
11/01/2009,7241033,696652
12/01/2009,7139636,844746
01/01/2010,5828870,756334
02/01/2010,6286975,770684
03/01/2010,7932097,857197
04/01/2010,7504012,831283
05/01/2010,7608484,930153
06/01/2010,8406451,840687
07/01/2010,8076849,714681
08/01/2010,9048304,800862
09/01/2010,8748636,912975
10/01/2010,9254126,1029808
11/01/2010,9190865,1103633
12/01/2010,8032210,1154977
01/01/2011,7401012,1121274
02/01/2011,7914051,1070318
03/01/2011,8644752,1190838
04/01/2011,7953733,1111437
05/01/2011,9273901,1170557
06/01/2011,9003850,1097945
07/01/2011,8694210,1202527
08/01/2011,10040341,1173240
09/01/2011,9344892,1352267
10/01/2011,9671473,1039286
11/01/2011,10483182,1365830
12/01/2011,8684850,1679141
01/01/2012,8825139,1455834
02/01/2012,8707415,1340649
03/01/2012,8986028,1242073
04/01/2012,8597699,1315681
05/01/2012,9899679,1245094
06/01/2012,9265446,1326361
07/01/2012,9728282,1222268
08/01/2012,9842595,1876244
09/01/2012,9059316,1261665
10/01/2012,11225374,1901244
11/01/2012,10471052,1463240
12/01/2012,9105244,1674845
01/01/2013,9249477,1075202
02/01/2013,9073210,1509995
03/01/2013,8705617,1797879
04/01/2013,10143698,1515495
05/01/2013,10411648,1581437
06/01/2013,9593927,1614250
07/01/2013,10978205,1688051
08/01/2013,10549030,1623997
09/01/2013,9849628,1296665
10/01/2013,11570539,1628861
11/01/2013,9771457,1628299
12/01/2013,9539955,1705742
01/01/2014,9329261,1189475
02/01/2014,8872656,1524593
03/01/2014,9473367,1712000
04/01/2014,10410929,1715487
05/01/2014,10969264,1520912
06/01/2014,9998814,1513884
07/01/2014,11499408,1363165
08/01/2014,11139633,1485417
09/01/2014,11129754,1481447
10/01/2014,12501922,1446673
11/01/2014,10820055,1266969
12/01/2014,11483298,1449591
01/01/2015,9806040,1236323
02/01/2015,9522689,1220874
03/01/2015,10846527,1567389
04/01/2015,11189541,1162615
05/01/2015,11247189,1284084
06/01/2015,11816568,1496331
07/01/2015,12073020,1216592
08/01/2015,11511419,1463003
09/01/2015,12111737,1416952
10/01/2015,13294653,1272855
11/01/2015,11279867,1282589
12/01/2015,10833300,1395386
01/01/2016,9970118,1046511
02/01/2016,10492609,1027640
03/01/2016,10764138,1203075
04/01/2016,11776625,1183416
05/01/2016,11002640,1416179
06/01/2016,11354726,1633017
07/01/2016,10838321,1540838
08/01/2016,12427978,1760349
09/01/2016,12337200,1712534
10/01/2016,12263487,2231098
11/01/2016,12125041,1830919
12/01/2016,11430542,1952777
01/01/2017,10625510,1466302
02/01/2017,10286046,1871678
03/01/2017,11899091,1927807
04/01/2017,10666976,1591427
05/01/2017,12642529,1705620
06/01/2017,12495447,1792650
07/01/2017,11967916,1675290
08/01/2017,13850149,1848726
09/01/2017,12843534,1896731
10/01/2017,14334277,2270383
11/01/2017,12956008,2207024
12/01/2017,12285450,2410077
01/01/2018,12184075,1908664
02/01/2018,11232777,1757533
03/01/2018,11879988,2115300
04/01/2018,12351950,2134688
05/01/2018,14360022,2275214
06/01/2018,13320559,1857844
07/01/2018,14068129,2045677
08/01/2018,14834565,2178556
09/01/2018,13654655,2211151
10/01/2018,15849637,2049211
11/01/2018,14508279,2373269
12/01/2018,12769273,2303828
01/01/2019,14009508,1975599
02/01/2019,12783105,2191926
03/01/2019,12875486,2012815
04/01/2019,13516131,2060620
