Day Index,Importaciones,Exportaciones
01/01/2008,459879,194241
02/01/2008,345054,183226
03/01/2008,346174,255742
04/01/2008,414413,309925
05/01/2008,442434,294171
06/01/2008,414327,328796
07/01/2008,587736,309405
08/01/2008,438270,351017
09/01/2008,468803,303995
10/01/2008,486392,390965
11/01/2008,373856,193106
12/01/2008,405319,252279
01/01/2009,341245,116467
02/01/2009,289986,129343
03/01/2009,303947,184627
04/01/2009,242282,180023
05/01/2009,227577,138933
06/01/2009,288845,198472
07/01/2009,238071,217179
08/01/2009,235369,225926
09/01/2009,360447,294162
10/01/2009,323599,257189
11/01/2009,324824,255019
12/01/2009,319078,240862
01/01/2010,254358,251753
02/01/2010,310655,247748
03/01/2010,401750,332973
04/01/2010,356095,277004
05/01/2010,330365,245026
06/01/2010,372989,352710
07/01/2010,375417,344194
08/01/2010,383325,349972
09/01/2010,374393,281998
10/01/2010,425584,374762
11/01/2010,389783,372685
12/01/2010,352751,350194
01/01/2011,336534,311264
02/01/2011,326774,295078
03/01/2011,432961,357184
04/01/2011,349894,395457
05/01/2011,381067,322672
06/01/2011,412399,346232
07/01/2011,360254,432584
08/01/2011,422522,393488
09/01/2011,424807,450083
10/01/2011,386116,503095
11/01/2011,368357,523096
12/01/2011,360211,560985
01/01/2012,399306,506357
02/01/2012,340913,490459
03/01/2012,359523,663613
04/01/2012,342090,526487
05/01/2012,418084,446525
06/01/2012,283175,563622
07/01/2012,431395,400806
08/01/2012,408977,411433
09/01/2012,356914,461249
10/01/2012,408913,453081
11/01/2012,372659,411476
12/01/2012,372555,322439
01/01/2013,425663,275643
02/01/2013,320383,343688
03/01/2013,348905,466669
04/01/2013,456500,533084
05/01/2013,396979,432162
06/01/2013,351594,477452
07/01/2013,404230,479355
08/01/2013,359420,603867
09/01/2013,311999,548807
10/01/2013,395270,403592
11/01/2013,347066,451684
12/01/2013,302589,370436
01/01/2014,361516,305163
02/01/2014,313209,372483
03/01/2014,333380,465759
04/01/2014,335321,467510
05/01/2014,372528,464505
06/01/2014,373678,419741
07/01/2014,360623,380508
08/01/2014,442312,424479
09/01/2014,412278,420744
10/01/2014,428738,386713
11/01/2014,342247,281838
12/01/2014,397199,350192
01/01/2015,340734,311567
02/01/2015,290361,352441
03/01/2015,384573,370652
04/01/2015,385506,440513
05/01/2015,337530,398723
06/01/2015,401358,380372
07/01/2015,393781,323299
08/01/2015,391124,255285
09/01/2015,430527,296192
10/01/2015,443735,243257
11/01/2015,383784,195846
12/01/2015,439113,230754
01/01/2016,365034,149196
02/01/2016,282619,186109
03/01/2016,367441,227672
04/01/2016,396942,233755
05/01/2016,411877,233930
06/01/2016,453921,287969
07/01/2016,439534,290959
08/01/2016,432634,306235
09/01/2016,383923,272583
10/01/2016,393298,250905
11/01/2016,430230,355435
12/01/2016,375441,261193
01/01/2017,402497,212780
02/01/2017,324319,222499
03/01/2017,476295,311648
04/01/2017,419231,194370
05/01/2017,517273,332504
06/01/2017,438690,312937
07/01/2017,456637,268833
08/01/2017,472275,320672
09/01/2017,463586,328427
10/01/2017,537350,436756
11/01/2017,476803,390043
12/01/2017,455669,349522
01/01/2018,477243,327170
02/01/2018,414036,318672
03/01/2018,506898,405919
04/01/2018,589585,375537
05/01/2018,623998,432017
06/01/2018,475403,418385
07/01/2018,615933,385169
08/01/2018,587118,417741
09/01/2018,566773,349148
10/01/2018,608010,397406
11/01/2018,512525,301584
12/01/2018,533444,279137
01/01/2019,556048,302546
02/01/2019,406315,350389
03/01/2019,486549,365783
04/01/2019,508525,377602
