Day Index,Importaciones,Exportaciones
01/01/2008,207373,121184
02/01/2008,251334,123487
03/01/2008,218966,125090
04/01/2008,226371,129035
05/01/2008,236813,150555
06/01/2008,183656,170579
07/01/2008,282205,119398
08/01/2008,247986,179720
09/01/2008,201834,168869
10/01/2008,230554,137215
11/01/2008,137274,87927
12/01/2008,167917,73848
01/01/2009,121394,55203
02/01/2009,120188,51167
03/01/2009,124431,71283
04/01/2009,119467,59990
05/01/2009,132163,67228
06/01/2009,143791,81296
07/01/2009,147570,74943
08/01/2009,148190,121443
09/01/2009,139788,120750
10/01/2009,163109,122164
11/01/2009,153779,109058
12/01/2009,136676,114812
01/01/2010,147622,112564
02/01/2010,129241,109558
03/01/2010,138698,146049
04/01/2010,160381,195794
05/01/2010,174130,179574
06/01/2010,173490,169955
07/01/2010,173549,176591
08/01/2010,145419,188605
09/01/2010,165059,150751
10/01/2010,179229,173692
11/01/2010,190475,123495
12/01/2010,175030,136818
01/01/2011,177374,132792
02/01/2011,185512,133807
03/01/2011,197331,180221
04/01/2011,189178,166368
05/01/2011,182808,203731
06/01/2011,150101,184588
07/01/2011,181346,162775
08/01/2011,186216,193244
09/01/2011,165639,194304
10/01/2011,141820,159624
11/01/2011,170246,199229
12/01/2011,173811,161347
01/01/2012,113665,161679
02/01/2012,137541,130694
03/01/2012,145393,205932
04/01/2012,118853,171757
05/01/2012,110656,223331
06/01/2012,133630,199686
07/01/2012,147531,201707
08/01/2012,117753,221722
09/01/2012,105062,202049
10/01/2012,109209,195716
11/01/2012,130642,146932
12/01/2012,132673,190301
01/01/2013,153089,166542
02/01/2013,125451,144183
03/01/2013,114606,182488
04/01/2013,125931,196035
05/01/2013,124684,177662
06/01/2013,115689,176496
07/01/2013,127242,231642
08/01/2013,134163,166570
09/01/2013,99537,174953
10/01/2013,95460,182335
11/01/2013,127642,133446
12/01/2013,94930,152315
01/01/2014,100293,145287
02/01/2014,87125,159205
03/01/2014,180541,183245
04/01/2014,116429,189853
05/01/2014,106320,165858
06/01/2014,123175,201246
07/01/2014,129590,219721
08/01/2014,101569,180185
09/01/2014,105442,179599
10/01/2014,122034,182958
11/01/2014,118164,157110
12/01/2014,106930,183757
01/01/2015,117721,121567
02/01/2015,117985,127926
03/01/2015,131408,134254
04/01/2015,112310,176675
05/01/2015,128630,137367
06/01/2015,126504,164780
07/01/2015,113151,185274
08/01/2015,135474,181644
09/01/2015,125244,184353
10/01/2015,131485,175199
11/01/2015,105034,128855
12/01/2015,135465,143465
01/01/2016,100992,137593
02/01/2016,127583,125308
03/01/2016,128321,136311
04/01/2016,110732,142681
05/01/2016,123609,136573
06/01/2016,110900,150523
07/01/2016,114723,133238
08/01/2016,111704,164908
09/01/2016,98903,160945
10/01/2016,113754,175886
11/01/2016,95982,127655
12/01/2016,98251,153399
01/01/2017,119843,120827
02/01/2017,108403,132479
03/01/2017,108434,192336
04/01/2017,104132,148273
05/01/2017,123927,158677
06/01/2017,147201,148525
07/01/2017,107300,146688
08/01/2017,138947,167632
09/01/2017,141298,159533
10/01/2017,124814,147535
11/01/2017,154323,141239
12/01/2017,158043,140453
01/01/2018,132039,163740
02/01/2018,138576,160680
03/01/2018,143794,185264
04/01/2018,142089,172256
05/01/2018,173823,174099
06/01/2018,138476,195975
07/01/2018,153089,162926
08/01/2018,183681,214810
09/01/2018,114276,199541
10/01/2018,129739,141118
11/01/2018,113994,141510
12/01/2018,104184,162194
01/01/2019,133627,150821
02/01/2019,107918,125340
03/01/2019,144677,153822
04/01/2019,116144,142945
