Day Index,Importaciones,Exportaciones
01/01/2008,49808,65527
02/01/2008,60106,84459
03/01/2008,78156,79085
04/01/2008,70557,71296
05/01/2008,61816,87193
06/01/2008,59694,78164
07/01/2008,60492,83227
08/01/2008,68764,94362
09/01/2008,83198,85866
10/01/2008,66644,90429
11/01/2008,58813,53929
12/01/2008,57837,46184
01/01/2009,53120,46039
02/01/2009,43132,51970
03/01/2009,64216,53213
04/01/2009,44671,50724
05/01/2009,37639,44640
06/01/2009,68131,53385
07/01/2009,81630,58137
08/01/2009,82415,55137
09/01/2009,85204,56024
10/01/2009,99677,60629
11/01/2009,118074,65771
12/01/2009,145413,55525
01/01/2010,117226,58955
02/01/2010,107244,57699
03/01/2010,148747,73298
04/01/2010,112925,78125
05/01/2010,142978,67759
06/01/2010,190929,74359
07/01/2010,142010,67738
08/01/2010,186055,62698
09/01/2010,186184,62840
10/01/2010,185072,68597
11/01/2010,192945,71019
12/01/2010,189638,62910
01/01/2011,166381,62667
02/01/2011,149706,75300
03/01/2011,209667,91382
04/01/2011,172819,68982
05/01/2011,201783,81470
06/01/2011,208255,90341
07/01/2011,238468,86171
08/01/2011,247437,83459
09/01/2011,254653,87733
10/01/2011,269105,87920
11/01/2011,271981,98503
12/01/2011,259866,83896
01/01/2012,296701,72155
02/01/2012,324546,89323
03/01/2012,303396,86104
04/01/2012,321648,76919
05/01/2012,393631,86439
06/01/2012,320632,85021
07/01/2012,316003,81025
08/01/2012,257177,90120
09/01/2012,148361,80975
10/01/2012,190088,93527
11/01/2012,212102,80621
12/01/2012,175079,71069
01/01/2013,145791,71672
02/01/2013,212372,69787
03/01/2013,270317,77386
04/01/2013,287993,81004
05/01/2013,257417,88924
06/01/2013,253946,77829
07/01/2013,331959,81852
08/01/2013,208570,87893
09/01/2013,314098,90312
10/01/2013,353707,94293
11/01/2013,250181,78476
12/01/2013,288040,77929
01/01/2014,236491,77097
02/01/2014,207977,85565
03/01/2014,251303,88611
04/01/2014,276516,83352
05/01/2014,273802,93972
06/01/2014,284746,97553
07/01/2014,233756,76484
08/01/2014,264859,77442
09/01/2014,162085,79230
10/01/2014,172032,86407
11/01/2014,100522,77021
12/01/2014,77708,73525
01/01/2015,60719,68810
02/01/2015,57851,75070
03/01/2015,54573,74565
04/01/2015,41418,78754
05/01/2015,36621,79646
06/01/2015,41814,85838
07/01/2015,44916,98428
08/01/2015,38739,82273
09/01/2015,44733,74616
10/01/2015,48215,93135
11/01/2015,38431,78527
12/01/2015,42000,74542
01/01/2016,22871,75054
02/01/2016,27936,70469
03/01/2016,26940,75495
04/01/2016,30621,73096
05/01/2016,38141,76795
06/01/2016,41373,75318
07/01/2016,33941,79576
08/01/2016,33247,73368
09/01/2016,29469,79345
10/01/2016,35590,77397
11/01/2016,34476,85493
12/01/2016,36475,74064
01/01/2017,24919,62026
02/01/2017,20708,74205
03/01/2017,33654,78383
04/01/2017,34673,69891
05/01/2017,33606,75124
06/01/2017,36171,83191
07/01/2017,26940,77952
08/01/2017,40246,83035
09/01/2017,29395,87505
10/01/2017,32127,94351
11/01/2017,30450,92033
12/01/2017,31691,81335
01/01/2018,26273,68529
02/01/2018,29249,75482
03/01/2018,38759,90293
04/01/2018,26219,87911
05/01/2018,46865,81954
06/01/2018,39822,80764
07/01/2018,41692,89714
08/01/2018,40254,78098
09/01/2018,29345,71890
10/01/2018,42707,86610
11/01/2018,42438,87895
12/01/2018,30464,67544
01/01/2019,29301,67353
02/01/2019,25927,66843
03/01/2019,27507,77184
04/01/2019,33296,71552
