Day Index,Importaciones,Exportaciones
01/01/2008,32,193
02/01/2008,3,59
03/01/2008,10,4
04/01/2008,76,38
05/01/2008,5,55
06/01/2008,21,65
07/01/2008,11,105
08/01/2008,26,45
09/01/2008,30,66
10/01/2008,51,179
11/01/2008,11,123
12/01/2008,6,298
01/01/2009,10,82
02/01/2009,18,10
03/01/2009,5,156
04/01/2009,6,846
05/01/2009,1,648
06/01/2009,2,211
07/01/2009,10,78
08/01/2009,7,16
09/01/2009,20,38
10/01/2009,14,64
11/01/2009,39,20
12/01/2009,48,35
01/01/2010,11,21
02/01/2010,24,90
03/01/2010,9,352
04/01/2010,15,219
05/01/2010,29,49
06/01/2010,12,185
07/01/2010,7,200
08/01/2010,83,152
09/01/2010,1,33
10/01/2010,9,29
11/01/2010,3,35
12/01/2010,10,102
01/01/2011,4,253
02/01/2011,6,144
03/01/2011,20,75
04/01/2011,8,236
05/01/2011,10,31
06/01/2011,11,221
07/01/2011,3,315
08/01/2011,3,260
09/01/2011,18,201
10/01/2011,21,1289
11/01/2011,23,530
12/01/2011,30,459
01/01/2012,7,0
02/01/2012,19,536
03/01/2012,17,74
04/01/2012,53,473
05/01/2012,13,7
06/01/2012,28,89
07/01/2012,20,78
08/01/2012,14,151
09/01/2012,18,120
10/01/2012,12,52
11/01/2012,29,236
12/01/2012,41,200
01/01/2013,55,46
02/01/2013,6,85
03/01/2013,44,82
04/01/2013,22,831
05/01/2013,49,200
06/01/2013,270,65
07/01/2013,91,473
08/01/2013,89,240
09/01/2013,63,97
10/01/2013,62,730
11/01/2013,89,245
12/01/2013,113,440
01/01/2014,107,152
02/01/2014,34,202
03/01/2014,35,131
04/01/2014,20,248
05/01/2014,74,63
06/01/2014,95,353
07/01/2014,90,74
08/01/2014,19,117
09/01/2014,6,2635
10/01/2014,26,239
11/01/2014,7,112
12/01/2014,9,33
01/01/2015,40,25
02/01/2015,14,209
03/01/2015,7,55
04/01/2015,71,63
05/01/2015,37,54
06/01/2015,89,53
07/01/2015,84,88
08/01/2015,9,129
09/01/2015,8,141
10/01/2015,13,23
11/01/2015,25,46
12/01/2015,10,35
01/01/2016,2,12
02/01/2016,31,45
03/01/2016,85,50
04/01/2016,87,123
05/01/2016,4,37
06/01/2016,9,224
07/01/2016,23,56
08/01/2016,12,42
09/01/2016,9,32
10/01/2016,4,87
11/01/2016,7,1796
12/01/2016,2,2184
01/01/2017,4,564
02/01/2017,3,3384
03/01/2017,22,4219
04/01/2017,11,12
05/01/2017,14,5832
06/01/2017,13,1364
07/01/2017,14,2181
08/01/2017,90,3887
09/01/2017,111,2345
10/01/2017,96,4425
11/01/2017,56,1427
12/01/2017,78,804
01/01/2018,81,94
02/01/2018,13,3013
03/01/2018,41,13310
04/01/2018,32,290
05/01/2018,8,221
06/01/2018,8,122
07/01/2018,4,396
08/01/2018,4,507
09/01/2018,93,1772
10/01/2018,13,2316
11/01/2018,5,3288
12/01/2018,4,3852
01/01/2019,4,1002
02/01/2019,5,5277
03/01/2019,12,10045
04/01/2019,37,1188
