Day Index,Importaciones,Exportaciones
01/01/2008,3166,32074
02/01/2008,6263,46869
03/01/2008,14292,39567
04/01/2008,10875,44420
05/01/2008,14798,36720
06/01/2008,10531,61967
07/01/2008,33910,64274
08/01/2008,29882,65122
09/01/2008,7816,57147
10/01/2008,10415,98972
11/01/2008,3780,51927
12/01/2008,42505,47326
01/01/2009,1575,35281
02/01/2009,10809,26173
03/01/2009,6022,26840
04/01/2009,17361,46609
05/01/2009,6654,30928
06/01/2009,9469,42504
07/01/2009,12604,32882
08/01/2009,7410,55970
09/01/2009,7987,50003
10/01/2009,10041,43041
11/01/2009,8109,78649
12/01/2009,5159,50848
01/01/2010,7786,39621
02/01/2010,4382,58865
03/01/2010,11656,67074
04/01/2010,9707,55445
05/01/2010,10938,52422
06/01/2010,9843,57870
07/01/2010,7047,59707
08/01/2010,5671,67691
09/01/2010,6057,50835
10/01/2010,6731,77206
11/01/2010,10612,58573
12/01/2010,14552,52956
01/01/2011,6117,49153
02/01/2011,4304,49893
03/01/2011,5297,83352
04/01/2011,14509,70153
05/01/2011,12532,67401
06/01/2011,7158,88368
07/01/2011,7654,84565
08/01/2011,26057,73384
09/01/2011,9522,63954
10/01/2011,11026,54871
11/01/2011,8529,72965
12/01/2011,16577,73240
01/01/2012,9707,60707
02/01/2012,4402,68795
03/01/2012,8918,65258
04/01/2012,7470,79658
05/01/2012,15678,78774
06/01/2012,7433,90786
07/01/2012,12283,69219
08/01/2012,6131,82244
09/01/2012,8047,74751
10/01/2012,7121,76273
11/01/2012,14813,74179
12/01/2012,7081,56082
01/01/2013,8594,64627
02/01/2013,6793,63155
03/01/2013,10419,83062
04/01/2013,7789,81822
05/01/2013,6353,89758
06/01/2013,10191,91698
07/01/2013,8187,70559
08/01/2013,9290,89266
09/01/2013,8630,81077
10/01/2013,11580,87033
11/01/2013,11262,57946
12/01/2013,16249,57038
01/01/2014,13520,51232
02/01/2014,8391,70946
03/01/2014,13883,79280
04/01/2014,18074,87880
05/01/2014,16939,89937
06/01/2014,13307,71466
07/01/2014,14715,82990
08/01/2014,9528,83666
09/01/2014,12864,74336
10/01/2014,13486,88026
11/01/2014,12155,62640
12/01/2014,17933,62441
01/01/2015,12313,36684
02/01/2015,11578,49782
03/01/2015,13804,77110
04/01/2015,11471,52563
05/01/2015,10626,47652
06/01/2015,15269,48868
07/01/2015,10049,44548
08/01/2015,18038,37356
09/01/2015,18365,41185
10/01/2015,16046,41573
11/01/2015,12720,34412
12/01/2015,13991,31527
01/01/2016,16023,31311
02/01/2016,11209,28567
03/01/2016,10144,41824
04/01/2016,19490,33931
05/01/2016,13345,39053
06/01/2016,22917,30757
07/01/2016,18371,34797
08/01/2016,18222,36526
09/01/2016,14042,45537
10/01/2016,10735,41737
11/01/2016,16268,46953
12/01/2016,17002,39591
01/01/2017,12664,33015
02/01/2017,10627,43662
03/01/2017,18268,51244
04/01/2017,9577,41238
05/01/2017,9340,48016
06/01/2017,10803,49330
07/01/2017,10281,56811
08/01/2017,8608,64017
09/01/2017,13047,51431
10/01/2017,10097,57472
11/01/2017,13394,63510
12/01/2017,11622,62158
01/01/2018,9299,41122
02/01/2018,6366,46844
03/01/2018,12517,60776
04/01/2018,16174,57776
05/01/2018,13094,59460
06/01/2018,12808,65715
07/01/2018,16620,67347
08/01/2018,31738,59751
09/01/2018,24441,78147
10/01/2018,29912,63584
11/01/2018,11296,65792
12/01/2018,7409,48391
01/01/2019,9171,41845
02/01/2019,9720,48440
03/01/2019,9836,58200
04/01/2019,8402,52531
