Day Index,Importaciones,Exportaciones
01/01/2008,3199609,1602590
02/01/2008,3044357,1312732
03/01/2008,3041120,1803205
04/01/2008,3952621,1826495
05/01/2008,3663395,1870962
06/01/2008,3498698,1808467
07/01/2008,3939593,1896856
08/01/2008,3946727,1343408
09/01/2008,3813065,1189411
10/01/2008,3892832,1389102
11/01/2008,3425131,1101113
12/01/2008,3010941,1028839
01/01/2009,2429300,841288
02/01/2009,2216503,937463
03/01/2009,2249411,862843
04/01/2009,2156787,916319
05/01/2009,2167602,923138
06/01/2009,2428619,967038
07/01/2009,2626101,1088173
08/01/2009,2530455,879121
09/01/2009,2687265,1148105
10/01/2009,2388888,1168519
11/01/2009,2890740,1251883
12/01/2009,2829633,1302074
01/01/2010,2485076,997534
02/01/2010,2462854,1224141
03/01/2010,2937973,1329909
04/01/2010,2628260,1180613
05/01/2010,3047447,1392029
06/01/2010,3193496,1115230
07/01/2010,2931746,1255229
08/01/2010,3381865,1218137
09/01/2010,2988154,1549364
10/01/2010,3144644,1354203
11/01/2010,3313604,1415584
12/01/2010,3375509,1774196
01/01/2011,2827556,1568479
02/01/2011,2714032,1413398
03/01/2011,3547758,1846744
04/01/2011,3095435,1733362
05/01/2011,3802040,1986046
06/01/2011,3701690,1853079
07/01/2011,3864811,1577224
08/01/2011,4052496,1856611
09/01/2011,3741966,1744422
10/01/2011,3559585,1864192
11/01/2011,3366561,1967059
12/01/2011,3202837,1723354
01/01/2012,3272151,1855868
02/01/2012,3258235,1760757
03/01/2012,3706255,2275597
04/01/2012,3824629,2018267
05/01/2012,3953576,2090010
06/01/2012,3869100,2077565
07/01/2012,3763213,1946948
08/01/2012,4380536,1919338
09/01/2012,3317451,1982009
10/01/2012,4074607,1968750
11/01/2012,4015735,2160103
12/01/2012,3249348,1786005
01/01/2013,3993377,2166474
02/01/2013,3320643,1745864
03/01/2013,3654523,1803717
04/01/2013,4490122,1946880
05/01/2013,4348269,1992989
06/01/2013,3842326,1748443
07/01/2013,4139324,1789073
08/01/2013,4120441,1971812
09/01/2013,3757936,1960103
10/01/2013,4157817,1665500
11/01/2013,3735037,1317981
12/01/2013,3548468,1549125
01/01/2014,3676631,1622680
02/01/2014,3594840,1695295
03/01/2014,3984631,2010524
04/01/2014,4562870,2016809
05/01/2014,4104149,2127873
06/01/2014,4076055,1998389
07/01/2014,4476284,1997935
08/01/2014,4318882,1867550
09/01/2014,4087461,1848714
10/01/2014,4327589,1749237
11/01/2014,4024480,1599349
12/01/2014,3976900,1857022
01/01/2015,3730325,1648345
02/01/2015,3298040,1885658
03/01/2015,4045893,1894010
04/01/2015,4251759,1761135
05/01/2015,4122576,1823761
06/01/2015,4306493,1707801
07/01/2015,4298992,1798478
08/01/2015,4194299,1566300
09/01/2015,3935455,1764716
10/01/2015,4094702,1723108
11/01/2015,3996916,1456539
12/01/2015,3810201,1487220
01/01/2016,3510044,1546564
02/01/2016,3413006,1588701
03/01/2016,3801391,1546676
04/01/2016,4035839,1641163
05/01/2016,3822984,1699014
06/01/2016,3905540,1726304
07/01/2016,4043977,1828046
08/01/2016,4259300,1810789
09/01/2016,4007236,1800113
10/01/2016,3739996,1568480
11/01/2016,4115005,1895917
12/01/2016,3942596,1918997
01/01/2017,3726272,1739565
02/01/2017,3609415,1588488
03/01/2017,4558746,1851919
04/01/2017,4105953,1784185
05/01/2017,4792138,1737579
06/01/2017,4637986,2066867
07/01/2017,4418891,2196271
08/01/2017,4996259,2207420
09/01/2017,4738340,2173176
10/01/2017,4934177,2227478
11/01/2017,4628195,2558617
12/01/2017,4300864,2383357
01/01/2018,5022495,1885330
02/01/2018,4496486,2590294
03/01/2018,5017764,2463477
04/01/2018,5062601,2872218
05/01/2018,5189990,2268158
06/01/2018,4835129,2375096
07/01/2018,4911359,1948479
08/01/2018,5283882,1825297
09/01/2018,4778152,2154915
10/01/2018,5092350,2308914
11/01/2018,4515843,2169029
12/01/2018,4222197,2059094
01/01/2019,4748599,2076183
02/01/2019,4039687,2238229
03/01/2019,4831748,2281256
04/01/2019,4845776,2119051
