Day Index,Importaciones,Exportaciones
01/01/2008,37466,123478
02/01/2008,39277,106574
03/01/2008,38315,112342
04/01/2008,47127,138185
05/01/2008,51772,120616
06/01/2008,35722,115599
07/01/2008,41643,115153
08/01/2008,53759,107718
09/01/2008,44072,114120
10/01/2008,42519,125798
11/01/2008,34221,115128
12/01/2008,35326,90390
01/01/2009,39215,71412
02/01/2009,22424,78663
03/01/2009,24962,89561
04/01/2009,17945,85032
05/01/2009,22759,89105
06/01/2009,27719,126449
07/01/2009,31181,105344
08/01/2009,24627,91104
09/01/2009,37471,101570
10/01/2009,104164,109137
11/01/2009,69911,137124
12/01/2009,77086,107588
01/01/2010,32457,91651
02/01/2010,28584,106573
03/01/2010,31407,130010
04/01/2010,62607,133803
05/01/2010,62619,129681
06/01/2010,30494,131141
07/01/2010,33914,119575
08/01/2010,35856,122407
09/01/2010,30812,114453
10/01/2010,34937,133144
11/01/2010,47727,128918
12/01/2010,56960,126542
01/01/2011,33011,120421
02/01/2011,42564,126189
03/01/2011,47665,152110
04/01/2011,38761,137122
05/01/2011,45506,155422
06/01/2011,43636,149711
07/01/2011,40098,158251
08/01/2011,46058,164625
09/01/2011,49689,165846
10/01/2011,53655,147905
11/01/2011,41172,160251
12/01/2011,61508,149454
01/01/2012,82380,140570
02/01/2012,44372,150209
03/01/2012,45520,153654
04/01/2012,42630,140767
05/01/2012,45283,171632
06/01/2012,44722,148761
07/01/2012,46276,151200
08/01/2012,50068,157795
09/01/2012,51448,143191
10/01/2012,56949,175155
11/01/2012,54887,154496
12/01/2012,47189,139826
01/01/2013,37809,135203
02/01/2013,35166,132317
03/01/2013,43654,144422
04/01/2013,40139,144754
05/01/2013,47944,159465
06/01/2013,46201,141824
07/01/2013,42147,158877
08/01/2013,51435,150493
09/01/2013,47096,136330
10/01/2013,51018,154114
11/01/2013,41749,147585
12/01/2013,44470,129209
01/01/2014,48908,125793
02/01/2014,30429,133369
03/01/2014,37243,150009
04/01/2014,35698,150133
05/01/2014,44679,157504
06/01/2014,35472,147963
07/01/2014,45561,156220
08/01/2014,46519,154163
09/01/2014,41467,162844
10/01/2014,45563,163188
11/01/2014,39885,146236
12/01/2014,38135,143026
01/01/2015,34687,125791
02/01/2015,35882,135122
03/01/2015,35439,159934
04/01/2015,34917,139127
05/01/2015,34523,160858
06/01/2015,40823,159723
07/01/2015,40120,161857
08/01/2015,42832,150482
09/01/2015,43067,166109
10/01/2015,39261,168013
11/01/2015,40269,154235
12/01/2015,39381,136334
01/01/2016,28290,124456
02/01/2016,40035,129825
03/01/2016,34583,147971
04/01/2016,39836,144537
05/01/2016,38016,151630
06/01/2016,36082,123187
07/01/2016,42710,149103
08/01/2016,52211,148336
09/01/2016,50807,147706
10/01/2016,35973,141475
11/01/2016,46277,166474
12/01/2016,43009,139219
01/01/2017,43230,128874
02/01/2017,38316,125207
03/01/2017,42758,149241
04/01/2017,33403,118037
05/01/2017,42282,146706
06/01/2017,41596,156618
07/01/2017,43706,129128
08/01/2017,59110,158675
09/01/2017,41923,147972
10/01/2017,48685,162745
11/01/2017,48977,156628
12/01/2017,43764,141857
01/01/2018,42110,139295
02/01/2018,43548,156840
03/01/2018,36399,152260
04/01/2018,44876,167062
05/01/2018,51930,176940
06/01/2018,42938,156013
07/01/2018,48307,174608
08/01/2018,53538,170466
09/01/2018,45744,156187
10/01/2018,44945,184801
11/01/2018,38778,168986
12/01/2018,42721,151055
01/01/2019,37418,152391
02/01/2019,36320,152131
03/01/2019,37007,167781
04/01/2019,35272,162594
