Day Index,Importaciones,Exportaciones
01/01/2008,18090,44969
02/01/2008,23952,40936
03/01/2008,17837,36541
04/01/2008,23101,47431
05/01/2008,15270,38949
06/01/2008,21332,32278
07/01/2008,17190,40434
08/01/2008,23880,40357
09/01/2008,26756,35602
10/01/2008,21128,40331
11/01/2008,21284,32612
12/01/2008,25163,27301
01/01/2009,18411,27967
02/01/2009,17720,30983
03/01/2009,13976,39440
04/01/2009,10394,33129
05/01/2009,8086,34273
06/01/2009,14653,31489
07/01/2009,8251,28825
08/01/2009,12391,27122
09/01/2009,14972,29705
10/01/2009,17689,32089
11/01/2009,15476,32461
12/01/2009,24510,28650
01/01/2010,18257,32440
02/01/2010,21432,30962
03/01/2010,17498,38258
04/01/2010,16540,41910
05/01/2010,28305,35458
06/01/2010,17087,32426
07/01/2010,17366,37943
08/01/2010,30514,34086
09/01/2010,24676,30680
10/01/2010,18728,38280
11/01/2010,25804,37705
12/01/2010,36215,34200
01/01/2011,11792,34898
02/01/2011,30532,35360
03/01/2011,17713,49013
04/01/2011,30447,44176
05/01/2011,25901,45892
06/01/2011,42682,42243
07/01/2011,32863,40609
08/01/2011,36497,45717
09/01/2011,28221,37761
10/01/2011,32778,43854
11/01/2011,28694,40856
12/01/2011,25790,39581
01/01/2012,15621,41632
02/01/2012,27604,47899
03/01/2012,29989,47363
04/01/2012,39641,41748
05/01/2012,25133,53562
06/01/2012,34118,41050
07/01/2012,28402,46775
08/01/2012,30719,51915
09/01/2012,32201,47363
10/01/2012,29129,59886
11/01/2012,27340,52851
12/01/2012,32976,42441
01/01/2013,20088,51847
02/01/2013,31405,44145
03/01/2013,35917,45426
04/01/2013,30437,46876
05/01/2013,39595,47092
06/01/2013,43526,42303
07/01/2013,35318,45580
08/01/2013,29384,41603
09/01/2013,28994,43398
10/01/2013,31890,56884
11/01/2013,41732,43336
12/01/2013,49602,41256
01/01/2014,32046,41225
02/01/2014,27745,45590
03/01/2014,35591,46389
04/01/2014,40123,47657
05/01/2014,48198,47114
06/01/2014,43215,41179
07/01/2014,47359,42125
08/01/2014,40379,41898
09/01/2014,34517,41161
10/01/2014,44640,42692
11/01/2014,39009,40551
12/01/2014,44870,40911
01/01/2015,28657,41065
02/01/2015,32318,43464
03/01/2015,30590,53630
04/01/2015,36547,47035
05/01/2015,35954,42560
06/01/2015,39442,53039
07/01/2015,36805,46070
08/01/2015,35932,46947
09/01/2015,35214,44534
10/01/2015,31039,50073
11/01/2015,35155,42766
12/01/2015,37357,44366
01/01/2016,30797,43124
02/01/2016,32233,42737
03/01/2016,34381,49149
04/01/2016,35957,51096
05/01/2016,36147,49429
06/01/2016,37440,46766
07/01/2016,42395,48790
08/01/2016,48475,49895
09/01/2016,32745,51831
10/01/2016,30822,52597
11/01/2016,34116,51773
12/01/2016,31041,48643
01/01/2017,27979,44972
02/01/2017,31586,47543
03/01/2017,39037,57621
04/01/2017,29555,45165
05/01/2017,38343,59040
06/01/2017,35541,55530
07/01/2017,41609,50969
08/01/2017,37373,56257
09/01/2017,29116,55757
10/01/2017,33218,60867
11/01/2017,33385,61136
12/01/2017,30001,51496
01/01/2018,24784,57044
02/01/2018,35752,60563
03/01/2018,32323,60091
04/01/2018,32830,74496
05/01/2018,35080,65678
06/01/2018,36320,65043
07/01/2018,45837,66904
08/01/2018,43379,63899
09/01/2018,39635,57633
10/01/2018,37398,57862
11/01/2018,41077,55725
12/01/2018,32543,56950
01/01/2019,36356,63970
02/01/2019,39792,56035
03/01/2019,48179,73452
04/01/2019,43560,64153
