Day Index,Importaciones,Exportaciones
01/01/2008,9880,55564
02/01/2008,8209,27825
03/01/2008,11707,37905
04/01/2008,13138,44471
05/01/2008,11297,34673
06/01/2008,10198,23081
07/01/2008,11738,21930
08/01/2008,8568,24187
09/01/2008,10818,28507
10/01/2008,12652,28742
11/01/2008,3369,29497
12/01/2008,7786,16421
01/01/2009,6949,14540
02/01/2009,7626,15152
03/01/2009,6791,18438
04/01/2009,6298,15067
05/01/2009,6333,16806
06/01/2009,6383,16655
07/01/2009,6906,18838
08/01/2009,5360,19295
09/01/2009,9425,20659
10/01/2009,20379,24142
11/01/2009,8339,19839
12/01/2009,15496,21048
01/01/2010,4897,18383
02/01/2010,8886,24151
03/01/2010,10392,27786
04/01/2010,12366,25465
05/01/2010,9966,26909
06/01/2010,11955,24187
07/01/2010,8475,28551
08/01/2010,9378,26501
09/01/2010,11895,21213
10/01/2010,9880,29081
11/01/2010,7933,29861
12/01/2010,18041,25078
01/01/2011,11003,22866
02/01/2011,10562,28472
03/01/2011,12978,32617
04/01/2011,13099,32876
05/01/2011,11641,32178
06/01/2011,10029,35180
07/01/2011,10778,37154
08/01/2011,10559,35918
09/01/2011,14892,36795
10/01/2011,12126,31270
11/01/2011,12123,39037
12/01/2011,18660,40822
01/01/2012,25713,50939
02/01/2012,13851,60151
03/01/2012,12542,71849
04/01/2012,9853,58275
05/01/2012,11864,63597
06/01/2012,11571,56989
07/01/2012,10428,57190
08/01/2012,12913,59944
09/01/2012,9892,54961
10/01/2012,15435,64281
11/01/2012,9298,66985
12/01/2012,10296,56842
01/01/2013,43328,67210
02/01/2013,48641,60272
03/01/2013,51726,58716
04/01/2013,49783,74281
05/01/2013,52915,68679
06/01/2013,48008,61483
07/01/2013,54753,64964
08/01/2013,58229,66672
09/01/2013,52935,65093
10/01/2013,57682,73371
11/01/2013,61791,66806
12/01/2013,48353,51860
01/01/2014,50719,63467
02/01/2014,59197,64543
03/01/2014,61330,70172
04/01/2014,50071,62889
05/01/2014,58104,69410
06/01/2014,57033,70853
07/01/2014,54374,63430
08/01/2014,50665,60232
09/01/2014,49949,64073
10/01/2014,49749,95904
11/01/2014,50022,98306
12/01/2014,45926,65685
01/01/2015,50237,64944
02/01/2015,48846,62326
03/01/2015,53703,72250
04/01/2015,45185,82033
05/01/2015,27285,75575
06/01/2015,31324,104912
07/01/2015,40899,92951
08/01/2015,52505,87921
09/01/2015,48397,67355
10/01/2015,56963,84775
11/01/2015,50333,78180
12/01/2015,43887,68831
01/01/2016,48480,59869
02/01/2016,63300,81583
03/01/2016,67895,88189
04/01/2016,66998,80701
05/01/2016,60650,81601
06/01/2016,51179,66598
07/01/2016,31450,68454
08/01/2016,69490,73382
09/01/2016,57417,92403
10/01/2016,58755,69519
11/01/2016,46132,101887
12/01/2016,40202,73833
01/01/2017,17167,79255
02/01/2017,16498,64318
03/01/2017,27242,79120
04/01/2017,21261,75654
05/01/2017,28366,67077
06/01/2017,23800,82989
07/01/2017,29602,83025
08/01/2017,29825,70477
09/01/2017,30578,74043
10/01/2017,46851,76328
11/01/2017,43455,119887
12/01/2017,45290,66313
01/01/2018,45853,65931
02/01/2018,32441,60628
03/01/2018,24812,74986
04/01/2018,18786,83395
05/01/2018,23073,66159
06/01/2018,19246,54612
07/01/2018,24383,53938
08/01/2018,33288,53572
09/01/2018,29587,50443
10/01/2018,31509,59891
11/01/2018,32215,62509
12/01/2018,18169,50748
01/01/2019,24960,52647
02/01/2019,23521,53839
03/01/2019,26898,60898
04/01/2019,28892,59832
