Day Index,Importaciones,Exportaciones
01/01/2008,791,65205
02/01/2008,999,56984
03/01/2008,835,66367
04/01/2008,692,58508
05/01/2008,8883,61303
06/01/2008,7410,83516
07/01/2008,38784,69801
08/01/2008,4580,68619
09/01/2008,37466,74166
10/01/2008,2542,127667
11/01/2008,676,62205
12/01/2008,12372,69809
01/01/2009,1720,41133
02/01/2009,1737,74112
03/01/2009,1016,56075
04/01/2009,262,63125
05/01/2009,14544,58952
06/01/2009,20711,76446
07/01/2009,961,47517
08/01/2009,512,58002
09/01/2009,621,56932
10/01/2009,48322,106843
11/01/2009,582,54705
12/01/2009,3542,76482
01/01/2010,1382,53002
02/01/2010,681,51561
03/01/2010,1197,73795
04/01/2010,432,70588
05/01/2010,1642,66838
06/01/2010,389,74663
07/01/2010,19758,73777
08/01/2010,3822,82317
09/01/2010,418,92240
10/01/2010,754,86596
11/01/2010,933,88147
12/01/2010,867,68766
01/01/2011,1422,69873
02/01/2011,692,70310
03/01/2011,55007,84685
04/01/2011,1180,79626
05/01/2011,1235,90368
06/01/2011,1264,87122
07/01/2011,1562,94877
08/01/2011,14918,89245
09/01/2011,2341,89105
10/01/2011,1797,83410
11/01/2011,35495,101848
12/01/2011,3799,83203
01/01/2012,4476,82032
02/01/2012,1415,90457
03/01/2012,2052,95401
04/01/2012,507,92780
05/01/2012,1589,117772
06/01/2012,25484,88999
07/01/2012,8870,79928
08/01/2012,1895,100879
09/01/2012,2177,94977
10/01/2012,32363,105380
11/01/2012,1024,102763
12/01/2012,1096,84329
01/01/2013,1371,83005
02/01/2013,2664,67166
03/01/2013,1313,92640
04/01/2013,938,104810
05/01/2013,1381,98386
06/01/2013,1011,77177
07/01/2013,1688,91394
08/01/2013,657,112118
09/01/2013,2493,76799
10/01/2013,1222,101435
11/01/2013,828,74290
12/01/2013,1804,67313
01/01/2014,2083,71392
02/01/2014,685,72140
03/01/2014,717,68869
04/01/2014,779,80371
05/01/2014,1151,80980
06/01/2014,1530,81601
07/01/2014,2184,81629
08/01/2014,1859,87492
09/01/2014,1535,93602
10/01/2014,4532,101409
11/01/2014,1457,94053
12/01/2014,1763,75554
01/01/2015,2416,89201
02/01/2015,2066,72518
03/01/2015,898,84325
04/01/2015,36059,93165
05/01/2015,1107,81069
06/01/2015,960,87921
07/01/2015,34885,124706
08/01/2015,26924,81915
09/01/2015,7865,76788
10/01/2015,1318,88376
11/01/2015,3606,80868
12/01/2015,2685,81584
01/01/2016,10716,75220
02/01/2016,1937,71312
03/01/2016,6308,72868
04/01/2016,1402,75987
05/01/2016,1154,71603
06/01/2016,2737,81257
07/01/2016,853,69227
08/01/2016,3343,65023
09/01/2016,8333,84015
10/01/2016,7193,86010
11/01/2016,5660,75239
12/01/2016,953,70782
01/01/2017,10375,71783
02/01/2017,865,73114
03/01/2017,1144,103592
04/01/2017,1150,69165
05/01/2017,1671,84361
06/01/2017,13371,74371
07/01/2017,48606,56158
08/01/2017,1487,73902
09/01/2017,9001,78261
10/01/2017,6954,79403
11/01/2017,13348,72370
12/01/2017,2227,79015
01/01/2018,14882,56468
02/01/2018,1754,76430
03/01/2018,1271,101639
04/01/2018,860,91004
05/01/2018,15515,83301
06/01/2018,14273,103291
07/01/2018,1851,76556
08/01/2018,6406,119426
09/01/2018,12566,131876
10/01/2018,33171,125833
11/01/2018,1894,76141
12/01/2018,1227,119770
01/01/2019,2034,93332
02/01/2019,824,92026
03/01/2019,2132,86894
04/01/2019,868,122483
