Day Index,Importaciones,Exportaciones
01/01/2008,48140,59047
02/01/2008,56058,83179
03/01/2008,38142,80272
04/01/2008,29280,77081
05/01/2008,48273,113150
06/01/2008,28469,146177
07/01/2008,40279,171901
08/01/2008,36883,92469
09/01/2008,25035,125300
10/01/2008,29893,106718
11/01/2008,21289,72802
12/01/2008,24496,51716
01/01/2009,23945,41741
02/01/2009,12492,46122
03/01/2009,12896,41476
04/01/2009,21899,41087
05/01/2009,30890,39159
06/01/2009,59573,44926
07/01/2009,54527,37898
08/01/2009,27813,51622
09/01/2009,26720,48497
10/01/2009,22032,61690
11/01/2009,25811,64206
12/01/2009,36763,67516
01/01/2010,30146,50972
02/01/2010,17247,63948
03/01/2010,33161,79354
04/01/2010,26569,82038
05/01/2010,14118,82964
06/01/2010,24794,83995
07/01/2010,46505,90840
08/01/2010,14050,86186
09/01/2010,23583,102425
10/01/2010,23772,88943
11/01/2010,31404,81606
12/01/2010,51778,80314
01/01/2011,21758,67433
02/01/2011,52097,90272
03/01/2011,40409,115815
04/01/2011,27462,103375
05/01/2011,30542,135194
06/01/2011,95163,118289
07/01/2011,21770,99776
08/01/2011,68060,116390
09/01/2011,108267,93501
10/01/2011,46395,116073
11/01/2011,38390,123653
12/01/2011,32034,106623
01/01/2012,50468,111357
02/01/2012,24346,136048
03/01/2012,28539,122993
04/01/2012,32847,135156
05/01/2012,38499,138232
06/01/2012,37981,157753
07/01/2012,18607,107743
08/01/2012,43788,134859
09/01/2012,31186,125461
10/01/2012,52121,138416
11/01/2012,19015,108589
12/01/2012,62570,111038
01/01/2013,33663,123492
02/01/2013,53278,109459
03/01/2013,42007,177729
04/01/2013,50802,164354
05/01/2013,59688,182707
06/01/2013,53291,173699
07/01/2013,45928,158350
08/01/2013,49034,150764
09/01/2013,50350,124991
10/01/2013,32069,165115
11/01/2013,43891,123876
12/01/2013,71344,115954
01/01/2014,50312,94471
02/01/2014,90897,118438
03/01/2014,66799,141965
04/01/2014,113564,158271
05/01/2014,68946,209088
06/01/2014,43166,145039
07/01/2014,94792,167382
08/01/2014,109173,123432
09/01/2014,111661,145886
10/01/2014,81475,159393
11/01/2014,129770,128363
12/01/2014,145719,138470
01/01/2015,69555,112799
02/01/2015,86222,129071
03/01/2015,52536,150125
04/01/2015,59298,150840
05/01/2015,43237,134440
06/01/2015,58683,144336
07/01/2015,85598,127163
08/01/2015,31731,135052
09/01/2015,36080,144403
10/01/2015,54216,172197
11/01/2015,46465,141889
12/01/2015,57705,108516
01/01/2016,45067,104596
02/01/2016,32149,110542
03/01/2016,47535,170258
04/01/2016,47826,106185
05/01/2016,43926,109210
06/01/2016,40028,110183
07/01/2016,75120,94075
08/01/2016,70456,106825
09/01/2016,44035,127084
10/01/2016,43407,135672
11/01/2016,27459,122661
12/01/2016,39300,106704
01/01/2017,41349,88204
02/01/2017,28589,129624
03/01/2017,30055,136432
04/01/2017,34090,124913
05/01/2017,57088,146177
06/01/2017,46439,122371
07/01/2017,55149,111394
08/01/2017,52847,125263
09/01/2017,40466,156021
10/01/2017,39829,136205
11/01/2017,36808,114191
12/01/2017,50882,120097
01/01/2018,43410,118526
02/01/2018,43213,206256
03/01/2018,29774,195826
04/01/2018,24770,131975
05/01/2018,64191,132705
06/01/2018,42479,132692
07/01/2018,38249,113751
08/01/2018,48271,106129
09/01/2018,30668,126139
10/01/2018,35568,142435
11/01/2018,41784,133284
12/01/2018,36824,111158
01/01/2019,49245,105831
02/01/2019,39471,115504
03/01/2019,65587,110149
04/01/2019,36324,105541
