Day Index,Importaciones,Exportaciones
01/01/2008,7395,77233
02/01/2008,5693,41306
03/01/2008,5281,103051
04/01/2008,6026,67137
05/01/2008,5809,91502
06/01/2008,4984,47977
07/01/2008,8474,90955
08/01/2008,5607,62935
09/01/2008,6904,43735
10/01/2008,5669,52303
11/01/2008,4240,63547
12/01/2008,4471,59397
01/01/2009,4577,34442
02/01/2009,6656,31637
03/01/2009,5160,37729
04/01/2009,5237,32581
05/01/2009,4661,37842
06/01/2009,5848,39114
07/01/2009,7033,59690
08/01/2009,6068,34595
09/01/2009,6491,37556
10/01/2009,7490,43272
11/01/2009,6838,38134
12/01/2009,4999,35888
01/01/2010,6784,37388
02/01/2010,7112,67443
03/01/2010,7717,53312
04/01/2010,8058,46943
05/01/2010,9903,41547
06/01/2010,9264,45943
07/01/2010,10140,53283
08/01/2010,9660,69601
09/01/2010,8219,66432
10/01/2010,9494,79780
11/01/2010,9572,48860
12/01/2010,9260,47490
01/01/2011,6554,77644
02/01/2011,7302,50742
03/01/2011,9471,48426
04/01/2011,9836,53047
05/01/2011,9823,53272
06/01/2011,10823,55332
07/01/2011,9860,48027
08/01/2011,7908,84405
09/01/2011,9386,48215
10/01/2011,9288,43714
11/01/2011,10628,54476
12/01/2011,9375,48514
01/01/2012,8193,44765
02/01/2012,8522,48411
03/01/2012,9032,47885
04/01/2012,10120,44521
05/01/2012,8286,51921
06/01/2012,7451,54030
07/01/2012,8613,50946
08/01/2012,7991,53772
09/01/2012,7719,48455
10/01/2012,11355,61534
11/01/2012,10679,55052
12/01/2012,8053,47552
01/01/2013,8008,45359
02/01/2013,11528,48392
03/01/2013,11457,49163
04/01/2013,13030,58373
05/01/2013,8941,53735
06/01/2013,8281,51954
07/01/2013,9930,60295
08/01/2013,10430,54593
09/01/2013,11242,51751
10/01/2013,13338,61075
11/01/2013,10680,56699
12/01/2013,8964,47830
01/01/2014,8748,43351
02/01/2014,8531,54168
03/01/2014,9835,58238
04/01/2014,10535,53477
05/01/2014,11287,53171
06/01/2014,11010,48098
07/01/2014,13451,51742
08/01/2014,10079,45315
09/01/2014,11497,51242
10/01/2014,12628,52391
11/01/2014,10576,47563
12/01/2014,9123,46113
01/01/2015,10273,51182
02/01/2015,10851,50896
03/01/2015,10769,60557
04/01/2015,9267,48691
05/01/2015,10776,46721
06/01/2015,12152,48646
07/01/2015,13688,65474
08/01/2015,11476,46451
09/01/2015,10899,52587
10/01/2015,12221,56220
11/01/2015,12534,58124
12/01/2015,11415,51527
01/01/2016,8701,44937
02/01/2016,9952,49175
03/01/2016,10554,54703
04/01/2016,11902,48058
05/01/2016,11730,46823
06/01/2016,10663,42209
07/01/2016,9739,47381
08/01/2016,9379,52087
09/01/2016,8006,51455
10/01/2016,10350,47703
11/01/2016,8624,61524
12/01/2016,5591,50476
01/01/2017,9022,51280
02/01/2017,9466,46936
03/01/2017,7622,60109
04/01/2017,7314,48519
05/01/2017,14152,56108
06/01/2017,12534,55466
07/01/2017,13528,52913
08/01/2017,14650,57933
09/01/2017,13571,58777
10/01/2017,16893,64313
11/01/2017,15820,70305
12/01/2017,15403,65069
01/01/2018,15526,66596
02/01/2018,21427,58258
03/01/2018,20746,68147
04/01/2018,18491,69812
05/01/2018,18397,64034
06/01/2018,18396,68430
07/01/2018,23361,63692
08/01/2018,25050,65388
09/01/2018,22629,69662
10/01/2018,23037,74730
11/01/2018,22921,67184
12/01/2018,16746,57767
01/01/2019,19237,59956
02/01/2019,19261,58579
03/01/2019,23467,66217
04/01/2019,19753,63531
